"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Dog API","0","Imagem aleatória","1","0","Múltiplas imagens aleatórias","0"
"0","Dog API","1","Imagem aleatória","0","0","Tempo de resposta imagem aleatória","0"
"0","Dog API","0","Imagens por raça","4","0","Raça válida retorna imagens","0"
"0","Dog API","0","Listar raças","1","0","Status e estrutura","0"
"0","Dog API","0","Imagens por raça","1","0","Sub-raça válida","0"
"0","Dog API","0","Imagens por raça","1","0","Formato das URLs de imagem","0"
"0","Dog API","0","Listar raças","2","0","Estrutura do payload","0"
"0","Dog API","0","Imagem aleatória","1","0","Aleatoriedade","0"
"0","Dog API","0","Listar raças","1","0","Tempo de resposta","0"
"0","Dog API","0","Imagens por raça","1","0","Raça inválida retorna erro","0"
"0","Dog API","0","Imagem aleatória","1","0","Retorno de imagem aleatória","0"
