"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","303","Todas as URLs de imagem devem ser válidas (https:// + extensão de imagem)","","2026-04-06","passed","2026-04-06","","GET /breed/{breed}/images","br.com.qa.api.tests.DogApiTest$BreedImagesTests","urlsDeImagemDevemSerValidas"
"","2846","Tempo de resposta deve ser inferior a 2 segundos","","2026-04-06","failed","2026-04-06","","GET /breeds/image/random","br.com.qa.api.tests.DogApiTest$RandomImageTests","tempoDeRespostaDeveSerAceitavel"
"","220","Tempo de resposta deve ser inferior a 3 segundos","","2026-04-06","passed","2026-04-06","","GET /breeds/list/all","br.com.qa.api.tests.DogApiTest$ListAllBreedsTests","tempoDeRespostaDeveSerAceitavel"
"","233","O payload deve conter um map de raças com sublistagens","","2026-04-06","passed","2026-04-06","","GET /breeds/list/all","br.com.qa.api.tests.DogApiTest$ListAllBreedsTests","payloadDeveConterMapDeRacas"
"","5569","Duas chamadas consecutivas devem (muito provavelmente) retornar URLs diferentes","","2026-04-06","passed","2026-04-06","","GET /breeds/image/random","br.com.qa.api.tests.DogApiTest$RandomImageTests","duasChamadasDevemRetornarUrlsDiferentes"
"","454","Raças válidas devem retornar lista de imagens não vazia Raça: hound","","2026-04-06","passed","2026-04-06","","GET /breed/{breed}/images","br.com.qa.api.tests.DogApiTest$BreedImagesTests","racaValidaDeveRetornarImagens"
"","3207","GET /breeds/image/random/{count} deve retornar exatamente N imagens","","2026-04-06","passed","2026-04-06","","GET /breeds/image/random","br.com.qa.api.tests.DogApiTest$RandomImageTests","deveRetornarQuantidadeCorretaDeImagens"
"","252","Raças válidas devem retornar lista de imagens não vazia Raça: poodle","","2026-04-06","passed","2026-04-06","","GET /breed/{breed}/images","br.com.qa.api.tests.DogApiTest$BreedImagesTests","racaValidaDeveRetornarImagens"
"","4521","Deve retornar HTTP 200, status 'success' e uma URL de imagem","","2026-04-06","passed","2026-04-06","","GET /breeds/image/random","br.com.qa.api.tests.DogApiTest$RandomImageTests","deveRetornarImagemAleatoria"
"","376","Deve retornar HTTP 200 e status 'success'","","2026-04-06","passed","2026-04-06","","GET /breeds/list/all","br.com.qa.api.tests.DogApiTest$ListAllBreedsTests","deveRetornarStatus200ESuccessStatus"
"","379","Cada raça deve ter uma lista (vazia ou com sub-raças) como valor","","2026-04-06","passed","2026-04-06","","GET /breeds/list/all","br.com.qa.api.tests.DogApiTest$ListAllBreedsTests","cadaRacaDeveTermListaComoValor"
"","276","Sub-raça válida (hound/afghan) deve retornar imagens","","2026-04-06","passed","2026-04-06","","GET /breed/{breed}/images","br.com.qa.api.tests.DogApiTest$BreedImagesTests","subRacaValidaDeveRetornarImagens"
"","250","Raças válidas devem retornar lista de imagens não vazia Raça: labrador","","2026-04-06","passed","2026-04-06","","GET /breed/{breed}/images","br.com.qa.api.tests.DogApiTest$BreedImagesTests","racaValidaDeveRetornarImagens"
"","231","Raça inválida deve retornar HTTP 404 e status 'error'","","2026-04-06","passed","2026-04-06","","GET /breed/{breed}/images","br.com.qa.api.tests.DogApiTest$BreedImagesTests","racaInvalidaDeveRetornar404"
"","404","Raças válidas devem retornar lista de imagens não vazia Raça: beagle","","2026-04-06","passed","2026-04-06","","GET /breed/{breed}/images","br.com.qa.api.tests.DogApiTest$BreedImagesTests","racaValidaDeveRetornarImagens"
